SAMPID	CD276_tpm	Histology
GTEX-1117F-0226-SM-5GZZ7	207.672343408233	Adipose Tissue
GTEX-1117F-0426-SM-5EGHI	9.08648081067666	Muscle
GTEX-1117F-0526-SM-5EGHJ	40.9835947457747	Blood Vessel
GTEX-1117F-0626-SM-5N9CS	46.5506704983489	Blood Vessel
GTEX-1117F-0726-SM-5GIEN	37.1667853539443	Heart
GTEX-1117F-1326-SM-5EGHH	77.1298993042207	Adipose Tissue
GTEX-1117F-2426-SM-5EGGH	61.4547095298458	Uterus
GTEX-1117F-2526-SM-5GZY6	22.8049138729503	Vagina
GTEX-1117F-2826-SM-5GZXL	90.1474929330423	Breast
GTEX-1117F-2926-SM-5GZYI	104.98660210502	Skin
GTEX-1117F-3026-SM-5GZYU	41.7922834795884	Salivary Gland
GTEX-1117F-3226-SM-5N9CT	24.6047683268342	Brain
GTEX-111CU-0126-SM-5GZWZ	69.8408174760215	Adrenal Gland
GTEX-111CU-0226-SM-5GZXC	32.1839675151784	Thyroid
GTEX-111CU-0326-SM-5GZXO	51.9795739669681	Lung
GTEX-111CU-0426-SM-5GZY1	19.5632389207594	Spleen
GTEX-111CU-0526-SM-5EGHK	37.04880797157	Pancreas
GTEX-111CU-0626-SM-5EGHL	36.9282329127581	Esophagus
GTEX-111CU-0726-SM-5GZYD	20.5943057718135	Esophagus
GTEX-111CU-0826-SM-5EGIJ	37.4557011792535	Esophagus
GTEX-111CU-0926-SM-5EGIK	41.3246568897849	Stomach
GTEX-111CU-1026-SM-5EGIL	66.1215430662377	Adipose Tissue
GTEX-111CU-1126-SM-5EGIM	51.9200428657005	Skin
GTEX-111CU-1226-SM-5EGIN	45.6213433075453	Colon
GTEX-111CU-1326-SM-5NQ8L	46.3347259092562	Small Intestine
GTEX-111CU-1426-SM-5GZYP	44.1529776862233	Colon
GTEX-111CU-1526-SM-5N9FS	74.7918963022629	Prostate
GTEX-111CU-1726-SM-5EGHM	15.415973068714	Testis
GTEX-111CU-1826-SM-5GZYN	109.357991365105	Adipose Tissue
GTEX-111CU-2026-SM-5GZZC	10.922424697182	Muscle
GTEX-111CU-2226-SM-5N9G5	44.6234772917115	Nerve
GTEX-111FC-0126-SM-5N9DL	40.6930250331253	Skin
GTEX-111FC-0226-SM-5N9B8	91.4032868947489	Adipose Tissue
GTEX-111FC-0326-SM-5GZZ1	18.0462656028638	Muscle
GTEX-111FC-0426-SM-5N9CV	94.9354604178192	Blood Vessel
GTEX-111FC-0526-SM-5GZZ8	37.293572309401	Nerve
GTEX-111FC-0626-SM-5N9CU	41.0786244565674	Heart
GTEX-111FC-0826-SM-5GZWO	33.1910188308302	Heart
GTEX-111FC-1026-SM-5GZX1	26.4522137258138	Thyroid
GTEX-111FC-1126-SM-5GZWU	18.8081797438497	Lung
GTEX-111FC-1326-SM-5N9D9	34.6454794439755	Spleen
GTEX-111FC-1926-SM-5GZYC	13.6987507786153	Testis
GTEX-111FC-2026-SM-5GZYO	53.7861848074982	Prostate
GTEX-111FC-2526-SM-5GZXU	46.445397158972	Skin
GTEX-111FC-2926-SM-5GZY7	55.6646700907273	Salivary Gland
GTEX-111FC-3126-SM-5GZZ2	22.7669483096181	Brain
GTEX-111FC-3326-SM-5GZYV	12.7410956441836	Brain
GTEX-111VG-0008-SM-5Q5BG	84.9083118641946	Skin
GTEX-111VG-0326-SM-5GZX7	54.747714031901	Heart
GTEX-111VG-0526-SM-5N9BW	35.6903283365845	Thyroid
GTEX-111VG-0726-SM-5GIDC	47.5219553111221	Lung
GTEX-111VG-1626-SM-5EGIO	54.0369968371489	Skin
GTEX-111VG-1926-SM-5GIDO	9.41337281073313	Testis
GTEX-111VG-2226-SM-5N9DU	49.0918574278838	Colon
GTEX-111VG-2326-SM-5N9BK	156.355628880726	Adipose Tissue
GTEX-111VG-2426-SM-5GZXD	96.0269119817611	Skin
GTEX-111VG-2526-SM-5GZXP	40.0444496989731	Nerve
GTEX-111VG-2626-SM-5GZY2	18.5538815038423	Muscle
GTEX-111YS-0006-SM-5NQBE	0.211681423915628	Blood
GTEX-111YS-0008-SM-5Q5BH	92.936182284721	Skin
GTEX-111YS-0126-SM-5987T	69.0456309103118	Adrenal Gland
GTEX-111YS-0326-SM-5GZZ3	42.6132943566355	Heart
GTEX-111YS-0426-SM-5987O	55.9669297748181	Heart
GTEX-111YS-0526-SM-5GZXJ	82.5983744515804	Blood Vessel
GTEX-111YS-0626-SM-5GZXV	19.9559888109008	Lung
GTEX-111YS-0726-SM-5GZY8	24.7346241928329	Thyroid
GTEX-111YS-0826-SM-5GZYK	28.3639108955978	Esophagus
GTEX-111YS-0926-SM-5EGGI	29.9567561436566	Esophagus
